gene_id,EAV_log2_fc,EAV_p_value,EAV_fdr,LAV_log2_fc,LAV_p_value,LAV_fdr,Lifter_log2_fc,Lifter_p_value,Lifter_fdr,SG_log2_fc,SG_p_value,SG_fdr,SGxAV_log2_fc,SGxAV_p_value,SGxAV_fdr,gene,description,gene_biotype,chromosome,start,end,interaction_fdr,effect_span,shared_stage_fdr,shared_stage_logFC,hybrid_vs_sg_delta,hybrid_vs_eav_delta
LOC115702300,0.826074884193681,0.0485520502986117,0.510271464345722,6.63893962717998,2.25209211929722e-07,0.000264648975168915,9.53598728951703,4.18239369679848e-08,4.54551250215058e-06,9.65661184618152,1.60985268230441e-09,2.59212776675024e-06,9.89163913604441,1.53553497409747e-07,9.98803211494986e-05,LOC115702300,truncated transcription factor CAULIFLOWER A,protein_coding,NC_083603.1,69985219,69994540,0.00133481005806632,0.233478040348552,0.00172603268112715,3.02221189094829,0.235027289862893,9.06556425185073
LOC115702792,0.0771935089584181,0.667522241495262,0.967522548580319,-1.0136991446321,1.85754055672649e-05,0.00349254775475714,-1.28582967942753,7.18112790969505e-09,1.55194904549525e-06,-0.780031370591472,2.11077653624906e-05,0.00233451884909146,-0.578451207813564,0.00118624468158022,0.0271335431910843,LOC115702792,serine/arginine-rich splicing factor SR45a,protein_coding,NC_083610.1,21771037,21773629,0.00426437301775171,0.531793866371317,2.93125903145782e-08,-0.832749669046021,0.201580162777908,0.655644716771982
LOC115695700,0.216743367915097,0.375133114167463,0.896086247796299,-0.55763754907361,0.0407372367796864,0.214369304766768,-1.35823940829885,4.64163268181439e-07,2.22632596131312e-05,-0.298803223015496,0.142145286186923,0.399797305425336,-0.0583407101266606,0.780555000941544,0.922148609971907,LOC115695700,protein transport protein SFT2,protein_coding,NC_083606.1,1044497,1046853,0.0100849625573086,1.04813441345714,0.000848797196385196,-0.536999226792775,0.240462512888836,0.275084078041757
LOC115725225,0.382472357608192,0.408874233579782,0.911608446587534,-1.01730525009333,0.086524993498559,0.32217702200054,-2.63874634255089,8.63681227547707e-07,3.4698577864e-05,0.0240318999406486,0.950179019672179,0.990588252619846,0.0995437257173721,0.81237063030603,0.93434278844509,LOC115725225,auxin-responsive protein SAUR21,protein_coding,NC_083606.1,68272091,68272861,0.0100849625573086,0.225196605780752,0.048901684101277,-0.649660595442465,0.0755118257767236,0.28292863189082
LOC115718499,-0.315669724659225,0.472196221519273,0.931573233049948,-0.806615117199339,0.114423385249599,0.37240583165362,-3.0945123927306,6.45168840620976e-08,6.03505698574905e-06,-1.13491649403438,0.00349547191537907,0.041412642062355,0.027875714775894,0.943474764018149,0.982074545372819,LOC115718499,abscisic acid 8'-hydroxylase 2,protein_coding,NC_083602.1,62131254,62137503,0.0104828745119251,0.24562086556316,0.000156846324386923,-1.10408342024697,1.16279220881027,0.343545439435119
LOC115711648,0.295389424413445,0.551721661275921,0.950160451794393,0.0687317043097847,0.913591792879159,0.968930420745505,-2.54296728055982,1.00489240647101e-05,0.000212530787699302,-0.368476111274667,0.392063163663832,0.683629008922133,0.712165363882228,0.135127883674436,0.413184984362783,LOC115711648,zinc finger protein CONSTANS-LIKE 6,protein_coding,NC_083603.1,2839813,2842664,0.0203944448907943,2.04347850335775,0.15507620201551,-0.493993331903063,1.0806414751569,0.416775939468783
LOC115719221,-0.490293336767547,0.021747218419572,0.38107288045181,0.20200662671289,0.334775002701502,0.632225753394299,0.743061146868001,0.000179972620278684,0.00181634203246367,-0.0386575658382423,0.815682922392933,0.947490507341915,-0.151113524404926,0.389366496679617,0.69227556724071,LOC115719221,pre-mRNA-splicing factor 38,protein_coding,NC_083602.1,88077927,88081144,0.0236093235799261,1.19487647300702,0.295852308640091,0.122639887565301,0.112455958566684,0.339179812362621
LOC115697537,0.200315914600466,0.669109074343387,0.967855019788279,-1.24579926478967,0.0260269504687996,0.169739411277964,-2.79657471824797,4.90818698590078e-07,2.29553386420643e-05,-1.06234083267597,0.0109996283780191,0.0848994305268944,-0.521562689075311,0.21375150583779,0.524288002470667,LOC115697537,"alpha,alpha-trehalose-phosphate synthase [UDP-forming] 1",protein_coding,NC_083607.1,61297280,61304220,0.0239122420547243,0.825707649466691,0.000103728226480343,-1.20342815301721,0.54077814360066,0.721878603675777
LOC115704768,-0.477688665168434,0.0389973635495287,0.470257046281988,0.411956297362594,0.0860998810725227,0.321264132551215,0.790681303437896,0.000274602195963291,0.00250716636166766,-0.1715397006197,0.359455672342723,0.654258039824577,0.349313004756663,0.0853424795762383,0.325549861848924,LOC115704768,auxin-responsive protein IAA27,protein_coding,NC_083601.1,65397765,65401760,0.0290759468413999,0.684346248917514,0.0876146052117834,0.223842787495075,0.520852705376363,0.827001669925097
LOC115718181,-0.897460664480509,2.64345242137947e-05,0.00720321629373576,0.0795278773777135,0.661466311589828,0.84876063539971,0.0391142364731975,0.789676216682157,0.879521618665178,-0.189471658431912,0.200078066020638,0.48331250233256,-0.379729575379248,0.0202788296481458,0.142004675994204,LOC115718181,serine/arginine-rich splicing factor RS40,protein_coding,NC_083605.1,13998085,14002551,0.0350801324252568,0.386066287000107,0.0219901753080729,-0.204362651279648,0.190257916947337,0.51773108910126
